URL,Status,Redirect,Time (ms)
http://shopee.co.id/path76,200,https://shopee.co.id/path76,667
https://shopee.co.id/path8,200,,390
http://shopee.co.id,200,https://shopee.co.id/,513
https://shopee.co.id/path16,200,,368
http://shopee.co.id,200,https://shopee.co.id/,570
https://frhndevweb.my.id,200,,511
http://frhndevweb.my.id,200,https://frhndevweb.my.id/,913
http://frhndevweb.my.id,200,https://frhndevweb.my.id/,542
http://shopee.co.id,200,https://shopee.co.id/,511
http://shopee.co.id,200,https://shopee.co.id/,523
